--,sectest9,Jksoccer23,965KOIT,CindyLauEva,Wirelesssav,Sierra_G7,CSITricia,WendiMunson,sofiasiabat,dileyla_1,SisterRoma,lup3drew,4tu_Nate,Bazdefc,TKelly_19,ProducerEli,indigoplaya,WFTV,frenchk,NewGodFrank,i_phonemast,CreativeZen,MahoganyWol,Chri503,BallezaAbig,BarbAnnJ,RogerJarnig,Meg2916,WTCenterOrl,ludo_VLT_94,PsychicDogT,MelanieLQ_,OrlCty,IRCDems,BicOnAir,noelcbickfo,DJCharlieSp,sousukeyama,JstJackee,JDThyme,lifesastage,reignchusti,jerryaddict,annavibesx,DrCouperthw,EricBurrisW,joyatksom,DrCamilleOm,V_Baugh
sectest9,13175,0,8,5,3,1,N/A,N/A,N/A,0,7,0,0,N/A,0,1,1,N/A,N/A,0,0,1,N/A,N/A,0,4,5,N/A,3,0,N/A,0,0,N/A,N/A,N/A,1,0,1,0,0,0,N/A,N/A,5,9,0,1,5
Jksoccer23,0,118,0,0,0,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0,N/A,0,0,N/A,0,0,N/A,N/A,N/A,0,0,0,0,0,0,N/A,N/A,0,0,0,0,0
965KOIT,8,0,10807,1,0,0,N/A,N/A,N/A,0,67,1,0,N/A,0,7,0,N/A,N/A,1,0,1,N/A,N/A,0,2,3,N/A,2,0,N/A,0,0,N/A,N/A,N/A,2,2,3,0,0,1,N/A,N/A,6,22,0,1,2
CindyLauEva,5,0,1,558,1,1,N/A,N/A,N/A,0,0,0,0,N/A,0,1,1,N/A,N/A,0,0,0,N/A,N/A,0,1,1,N/A,5,0,N/A,0,1,N/A,N/A,N/A,0,1,4,0,0,0,N/A,N/A,0,1,0,0,2
Wirelesssav,3,0,0,1,587,0,N/A,N/A,N/A,0,1,0,0,N/A,0,2,0,N/A,N/A,1,0,0,N/A,N/A,0,1,1,N/A,0,0,N/A,0,3,N/A,N/A,N/A,0,0,1,0,0,0,N/A,N/A,0,9,1,0,0
Sierra_G7,1,0,0,1,0,1013,N/A,N/A,N/A,0,1,0,0,N/A,0,1,0,N/A,N/A,3,0,0,N/A,N/A,1,0,1,N/A,1,0,N/A,4,0,N/A,N/A,N/A,0,1,2,0,1,6,N/A,N/A,1,1,0,0,1
CSITricia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WendiMunson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sofiasiabat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dileyla_1,0,0,0,0,0,0,N/A,N/A,N/A,14,0,0,0,N/A,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0,N/A,0,0,N/A,0,0,N/A,N/A,N/A,0,0,0,0,0,0,N/A,N/A,0,0,0,0,0
